Entity1,Relationship,Entity2
Engineers,included,Airport Engineer 3
Consultant,was from,Consulting Company
Responsibility for the administration of the airport,passed from,Pillar II
Responsibility for the administration of the airport,passed to,Kosovo Trust Agency (KTA)
Pillar IV,was under,Divisional Manager
Divisional Manager,had under him,PEAP Official
Divisional Manager,had under him,ATCS Official
Pristina International Airport,was handed over to,Civilian Jurisdiction
Civilian Jurisdiction,was under,ICAO Regulations
investigation,conducted pursuant to,executive decision no 200316
investigation task force,conducted,enquiry
enquiry,into,allegations
allegations,raised by,interviews
interviews,with,persons indicated to be witnesses
persons indicated to be witnesses,and,persons potentially implicated
persons potentially implicated,in,allegations
documents,obtained from,pristina airport administration
documents,obtained from,pillar iv
documents,analysed for relevance to,inquiry
pristina international airport,constitutes,state owned enterprise
pristina international airport,under,yugoslavian law
assets of the airport,include,runways
assets of the airport,include,terminal buildings
assets of the airport,include,hanger
assets of the airport,include,fuel storage facilities
assets of the airport,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
state owned and publicly owned assets,includes,pristina international airport
vendor,produced,test results
vendor,confirmed,quality of its own work
vendor,worked on,cargo apron
interoffice memorandum,from,staff member 2
interoffice memorandum,to,procurement official
interoffice memorandum,signed by,doti official 1
doti official 1,dated,18-Oct-01
doti official 1,authorised,soil stabilisation work
memorandum,adds that,work was inadvertently not included in the original contract
doti official 2,told,itf
doti official 2,had to organise,geographical survey
geographical survey,allowed,cargo apron tender to progress
tests,were done,tender could go ahead
evaluation report,suggests that,information on the nature of the ground does not appear to have been included in the tender documents
letter,from,vendor
letter,to,unmik
letter,to,peap
letter,dated,27-Jun-01
letter,not received at,unmik
letter,not received at,peap
letter,according to,manuscript note signed by airport engineer 1
manuscript note,signed by,airport engineer 1
letter,suggests that,vendor carried out its own soil tests
doti official 2,explained,technical details of the cargo apron extension project
technical details of the cargo apron extension project,were taken from,cargo terminal study
cargo terminal study,produced by,evaluation company
evaluation company,pasted into,tender document specifications
company winning the tender,to demonstrate,specification
doti official 2,who arrived shortly after,tender
airport engineer 1,had been angry with,evaluation company
doti official 2,to send out,excerpts of their study
excerpts of their study,as,tender specifications
airport engineer 1,had also expressed concern at,method used for preparing the tender documents
tenders,did not contain,sufficient detail
doti official 2,stated that,evaluation company
evaluation company,had been asked to prepare,tender documents
tender documents,would have cost,more money
doti official 2,had therefore prepared,tender documents
tender documents,sent to,procurement official
procurement official,to review and help,procurement exercise
assistance,was provided primarily by,cpe procurement officer
assistance,was provided to a lesser extent by,procurement official
procurement documents,and,rules
doti official 2,expressed the view that,neither procurement official nor cpe procurement officer
procurement official,would have had,technical expertise
procurement officer,would have had,time to review technical specifications
doti official 2,emphasised that,no engineering expert
no engineering expert,to support,hisher work
hisher work,made,very difficult
doti official 2,is responsible for,shortcomings in the tender documents
doti official 1,must bear responsibility with,cpe
shortcomings in the tender documents,prejudiced,some companies
some companies,submitted bids for,the tenders
three persons,attended,the bid opening session
three persons,were on,the tender evaluation committee
contract for the cargo apron extension,was not channelled through,the office of the legal adviser
vendor,produced,bearing capacity report for the cargo apron
vendor,self certifying,its own work
self certifying,presented,potential conflict of interest
US National Security Agency,derived from,intelligence intercepts
intelligence intercepts,of,officials
officials,within,"Japanese Ministry of Economy, Trade and Industry"
officials,within,Ministry of Foreign Affairs
Japanese Prime Minister Shinzo Abe,to,Washington DC
Shinzo Abe,for talks with,President George W. Bush
Shinzo Abe's government,considering,not informing the United States
plan to reduce carbon emissions,might be opposed by,Bush administration
National Security Agency,was aware of,plan not to inform the United States
National Security Agency,was aware of,government's change of mind
change of mind,taken at,briefing at Prime Minister's official residence
Japanese Prime Minister Shinzo Abe,visits,Washington
"Japanese Ministry of Economy, Trade and Industry (METI)",wants,simple message regarding climate change
METI,has pushed,three principles
three principles,include,technical development
three principles,include,energy conservation
three principles,include,nuclear energy
METI,wants,participation of all countries
Ministry of Foreign Affairs (MFA),wants,Abe to mention Japan's goal
Japan's goal,is,reducing carbon emissions by half by 2050
Abe initiative,will be announced,in late May
MFA,was considering,not informing the US
MFA,did not expect,Washington to approve of such a goal
US reaction,is based on,climate change issues
Abe,will state,the goal at the bilateral summit
Abe,will notify,the United States
Japan,anticipates,no major harm to the Japanese-US relationship
Tokyo,has,climate change officials
Japanese climate change officials,plan to continue promoting,sectoral approach
Japanese climate change officials,face criticism from,international energy agency
International Energy Agency,warned,Japanese
Fatih Birol,is,chief economist of the IEA
Sectoral approach,is not yet understood by,Tokyo
Masakazu Toyoda,is,"of the Japanese Ministry of Economy, Trade and Industry"
Masakazu Toyoda,expressed frustration at,criticism
Sectoral approach,is designed to get,China
Sectoral approach,is designed to get,India
Sectoral approach,is designed to get,US
Sectoral approach,allows,developed countries
Sectoral approach,will not result in,economic or industrial loss
Japanese official,thinks that,Europeans may find it difficult to implement sectoral approach
Electricity sector,is subject to,emissions trading scheme
Toyoda,claimed that,businesses from several sectors are threatening to cease operations
Businesses from several sectors,include,steel
Businesses from several sectors,include,aluminum
Businesses from several sectors,include,cement
Businesses from several sectors,include,petroleum
ETS,continues as is,businesses threatening to cease operations
US National Security Agency (NSA),derived from,intelligence intercepts
intelligence intercepts,of,officials within the Japanese government
Japanese government,before,2008 G8 summit
2008 G8 summit,held in,Lake Toya
Lake Toya,in,Japan
report,observes,widespread impetus within the Japanese government
Japanese government,involving,multiple ministries
Japanese leadership,at,G8 summit
G8 summit,on,policy to combat climate change
policy to combat climate change,focusing on,Japanese initiative
Japanese initiative,towards,sectoral approach to reducing carbon emissions
report,marked for sharing with,United States
report,marked for sharing with,Five Eyes intelligence partners
Five Eyes intelligence partners,include,Australia
Five Eyes intelligence partners,include,Canada
Five Eyes intelligence partners,include,Great Britain
Five Eyes intelligence partners,include,New Zealand
Japanese leadership,working to narrow down,climate change goals
climate change goals,for,G8 summit
Japanese officials,from,"Ministry of Economy, Trade and Industry"
Japanese officials,from,Ministry of Foreign Affairs
Japanese officials,from,Ministry of Finance
Japanese officials,from,Ministry of Environment
Japanese officials,briefed,Chief Cabinet Secretary Nobutaka Machimura
Chief Cabinet Secretary Nobutaka Machimura,on,20-Feb
Japanese officials,on,environmental goals
environmental goals,they believe Japan should work toward achieving,G8 summit
G8 summit,at,Lake Toya
Lake Toya,in,Japan
Japan,seeking to demonstrate,leadership in the environmental sector
Japan,may announce,domestic emissions reduction goals
domestic emissions reduction goals,prior to,the meeting
Japanese,strive to avoid damage to,US relations
"Japanese Ministry of Agriculture, Forestry and Fisheries (MAFF)",seeking ways to prevent damage to,US relations
MAFF,was alarmed by,US Department of Agriculture
Tokyo,ruling that imports could not commence until,end of this month
MAFF inspector,expected to conclude,pilot program involving inspections in the US Pacific Northwest
MAFF,considering to admit to,Washington
US,be notified that,imports could begin as soon as onsite inspection is confirmed
Japanese,fear that the issue will become,similarly politicized
Japanese,concerned about,senior levels in Washington
national security agency,produced,2009 report
2009 report,derived from,intelligence intercepts
intelligence intercepts,involved,officials
officials,belong to,japanese ministry of agriculture forestry and fisheries
national security agency,knew of,options under consideration
options under consideration,related to,bilateral relations
bilateral relations,concerned with,trade dispute
trade dispute,involves,import of us cherries
options being discussed,include,use of back channels
use of back channels,to share,information with washington
main japanese incentive,is,avoidance of politicization
politicization,of,trade issue
trade issue,in,washington
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,supervised,Department of Transport and Infrastructure (Doti)
Doti Official 1,was later known as,Transport Sector of UNMIK Directorate of Infrastructure Affairs
Doti Official 1,left,UNMIK
Doti Official 2,was recruited by,Doti
Doti Official 2,was in charge of,Airport Operations
Doti Official 2,reported to,Doti Official 1
Doti Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,Engineers seconded from Armed Forces of a United Nations Member State
Airport Engineer 1,was part of,Engineering expertise
Airport Engineer 2,was part of,Engineering expertise
Airport Engineer 3,was part of,Engineering expertise
Consultant,was from,Consulting Firm
Responsibility for the administration of the airport,passed from,Pillar II
Responsibility for the administration of the airport,passed to,Kosovo Trust Agency (KTA)
Divisional Manager,was appointed at,Airport Sector KTA
Divisional Manager,had under him,PEAP Official
Divisional Manager,had under him,Air Traffic Control Services (ATCS) Official
Pristina International Airport,was handed over to,Civilian Jurisdiction
Civilian Jurisdiction,was under,ICAO Regulations
investigation,conducted pursuant to,executive decision no 200316
executive decision no 200316,established,investigation task force
itf investigators,conducted,enquiry
enquiry,into,allegations
allegations,raised by,interviews
interviews,with,persons indicated to be witnesses
interviews,with,persons potentially implicated
documents,obtained from,pristina airport administration
documents,obtained from,pillar iv
documents,analysed for relevance to,inquiry
report,details,findings
pristina international airport,constitutes,state owned enterprise
pristina international airport,under,yugoslavian law
assets of the airport,include,runways
assets of the airport,include,terminal buildings
assets of the airport,include,hanger
assets of the airport,include,fuel storage facilities
assets of the airport,include,equipment
public enterprise airport pristina,maintained by,military units of the kosovo force
military units of the kosovo force,pursuant to,united nations security council resolution 1244
united nations security council resolution 1244,dated,10-Jun-99
unmik regulation no 11999,dated,25-Jul-99
unmik,mandated to administer,territory of kosovo
unmik,includes,state owned and publicly owned assets
state owned and publicly owned assets,includes,pristina international airport
eu,engaged in,strategy sessions
eu,aimed at,common handling policy
eu,dealing with,potential us moves
japan,engaged in,strategy sessions
japan,aimed at,common handling policy
japan,dealing with,potential us moves
brussels,has conviction,great care must be taken
tokyo,has conviction,great care must be taken
japanese reporting,indicates,great care must be taken
toshiakatsu matsuoka,pondered with,marianne fischerboel
marianne fischerboel,pondered with,toshiakatsu matsuoka
eu,proposed,17 billion mark
us,supports at,17 billion mark
eu,judged,17 billion mark
brussels,put on table,market access
brussels,put on table,last july
fischerboel,indicated,14 to 15 billion
fischerboel,indicated,eu concerns
washington,may be headed for,showdown with developing countries
fischerboel's deputy chef de cabinet,hinted to,japanese
eu,may be willing to go lower than,8 percent
eu,may be willing to go as low as,4 to 5 percent
borchardt,tried to allay,japanese fears
eu,might try again to enter into,bilateral underthetable deal
eu,learned its lesson with respect to,backdoor actions
cancun,happened in,2003
Angela Merkel,attended,22 October meeting
Nicolas Sarkozy,attended,22 October meeting
Silvio Berlusconi,attended,22 October meeting
Valentino Valentini,described,22 October meeting
22 October meeting,was described as,tense and very harsh
Angela Merkel,pressured,Silvio Berlusconi
Nicolas Sarkozy,pressured,Silvio Berlusconi
Silvio Berlusconi,must make decisions,financial institutions
Herman Van Rompuy,urged,Italy
Herman Van Rompuy,indicated,24th
Italy,is weighed down with,enormous debt
Italy,is struggling with,low productivity
Italy,is showing,little dynamism
Spain,is the model,Italy
Israel,has reached out to,Europe
Europe,includes,Italy
Israel,has relations with,United States
Italian diplomatic reporting,reported on,13-Mar
Silvio Berlusconi,is,Italian Prime Minister
Binyamin Netanyahu,is,Israeli Prime Minister
Netanyahu,insisted that,trigger for the dispute
Israel,decided to build,1600 homes in contested East Jerusalem
Golda Meir,was,administration leader
Netanyahu,blamed,government official
Netanyahu,said,objective is to keep Palestinians from using issue
Palestinians,could risk,sinking peace negotiations
Berlusconi,promised to put,Italy at Israel's disposal
Israeli officials,believed that,tiff goes far beyond construction plans
Tiff,marks,lowest point in US-Israeli relations
Japan,preparing for,G8 Summit
Japan,role,Chairman of the G8 Summit
Germany,believes that,crucial issue at the summit
US,accept,going beyond Heiligendamm
Heiligendamm,site of,last year's G8 Summit
Emerging countries,accept,numerical targets
Leaders from 16 countries,discuss,climate change
Masaharu Kono,emphasized,Tokyo's position
Bernd Pfaffenback,provided,Germany's take on the issues
Germany,likely give up,25 to 45 percent midterm carbon dioxide reduction
Emerging economies,willing to go beyond,Bali language
Emerging economies,prefer,wait until next year's G8 Summit
Pfaffenback,position,failure of emerging economies to accept long-term goal
G8,lead to,clash at the summit
Ban Ki-moon,participated in,exchange
Ban Ki-moon,pointed out,world
Ban Ki-moon,believes,EU
EU,maintains,leadership role
EU,combating,climate change
EU summit,will impact on,UN conference on climate change
UN conference on climate change,in,Poznan
Poznan,related to,2009 Copenhagen talks
Ban Ki-moon,maintained,new US administration
new US administration,will have,engaging and proactive attitude
EU,create,conditions necessary
conditions necessary,for,meaningful deal
Ban Ki-moon,considered,Poznan conference
Poznan conference,to be,important
Ban Ki-moon,praised,Angela Merkel
Angela Merkel,encouraged,EU leaders
Angela Merkel,was optimistic,EU summit
EU summit,would come to,agreement
Angela Merkel,acknowledged,tough issue
tough issue,would involve,carbon dioxide trading
Ban Ki-moon,and,Angela Merkel
Ban Ki-moon,favored,minisummit
minisummit,to involve,new US administration
Angela Merkel,believed,climate change issue
climate change issue,should be discussed at,heads of state level
non staff member 1,provided statements to,itf investigators
non staff member 1,was contacted by,official 1's daughter
official 1's daughter,is,official 2's secretary
non staff member 1,went to,restaurant 1
restaurant 1,is located in,hajvali
non staff member 1,was greeted by,security official
security official,is,official 2's secretary
security official,is,official 1
non staff member 1,saw,another person
another person,was seeking,employment route
another person,paid,official 2's secretary
non staff member 1,handed,500000
non staff member 1,was requested to sign,three different coloured books
three different coloured books,entitled,airport staff
non staff member 1,was asked to leave by,official 2's secretary
non staff member 1,would be contacted by,telephone
telephone,is about,details of future employment
details of future employment,at,pristina airport
non staff member 1,provided statements to,itf investigators
non staff member 1,was aware of,another case of kickbacks for pristina airport employment
non staff member 1,is the owner of,a hamburgersandwich standrestaurant
kps officer 2,requested information in relation to,non staff member 4
non staff member 5,is the wife of,kps officer 2
non staff member 5,met,non staff member 4
non staff member 5,was purchasing,airport uniforms
non staff member 4,had important contacts at,pristina airport
non staff member 4,was asked by,non staff member 5
non staff member 4,allegedly replied to,non staff member 5
non staff member 1,provided statements to,itf investigators
non staff member 1,alleges to have visited,official 1
official 1,is at,pristina airport
non staff member 1,asked how to obtain employment at,pristina airport
official 1,replied that this was possible but only via,payment of a considerable amount of money
non staff member 1,was aware that,non staff member 2
non staff member 1,was aware that,non staff member 3
non staff member 2,paid,700000
non staff member 3,paid,700000
non staff member 2,paid to,official 1
non staff member 3,paid to,official 1
non staff member 2,hoped to receive,employment at pristina airport
non staff member 3,hoped to receive,employment at pristina airport
non staff member 1,provided statements to,itf investigators
non staff member 1,told,itf
non staff member 1,was called by,official 2s secretary
non staff member 1,gave,100000
official 2s secretary,was present with,official 1
official 1,was having dinner with,his daughter
official 1,was having dinner at,the same mentioned restaurant
non staff member 1,paid for,that night's dinner
non staff member 1,was called by,official 2s secretary
non staff member 1,was requested to pay,225
non staff member 1,was requested to pay,190
non staff member 1,stated that,pristina airport staff were present
pristina airport staff,included,security official a
pristina airport staff,included,secretary official 2
pristina airport staff,included,xray official
pristina airport staff,included,official 1
pristina airport staff,included,official 2s secretary
pristina airport staff,included,official 3
pristina airport staff,included,official 4
pristina airport staff,included,one person who only spoke english
one person who only spoke english,may have been,official 5
non staff member 1,was congratulated by,the others
the others,were attempting to demonstrate to,non staff member 1
the others,were in contact with,the competent person
Kosovo Trust Agency,has,Internal Audit Unit
Internal Audit Unit,created,Internal Memorandum
Internal Memorandum,dated,4-Oct-04
Internal Memorandum,described,audit of procurement of staff uniforms
Pristina Airport,raised concerns,cancellation of competitive tender
Pristina Airport,issued,single source contract for summer uniforms
Vendor 1,competed for,tender
Vendor 1,was awarded,single source contract
Vendor 1 Manager,alleged,existence of rumors
Vendor 1 Manager,identified intention to seek,legal action against Procurement Officer 1
Procurement Officer 1,was allegedly bribed by,Vendor 2
Vendor 1 Manager,made utterances to,Procurement Officer 1
ITF,commenced,inquiry into allegations
ITF,provides,summary of the case
Procurement Officer 1,interpreted utterances as,threat
Kosovo Trust Agency,has,Internal Audit Unit
Internal Audit Unit,issued,Internal Memorandum
Internal Memorandum,dated,4-Oct-04
Internal Memorandum,described,audit of procurement of staff uniforms
Pristina Airport,raised concerns,cancellation of competitive tender
Pristina Airport,has reference no,PEAPCGUAS190504
Pristina Airport,issued,single source contract
Single Source Contract,for,summer uniforms
Single Source Contract,for,new staff
Internal Audit Unit,referenced,letter of complaint
Letter of Complaint,dated,28-Jun-04
Vendor 1,competed for,tender
Vendor 1,was awarded,single source contract
Vendor 1 Manager,alleged,existence of rumors
Vendor 1 Manager,identified,intention to seek legal action
Procurement Officer 1,was allegedly bribed by,Vendor 2
Vendor 1 Manager,made utterances to,Procurement Officer 1
Procurement Officer 1,interpreted utterances as,threat
ITF,commenced,inquiry into allegations
ITF,provides,summary of the case
investigation task force,provided with,copy of a letter
copy of a letter,dated,28-May-04
cargo manager,sent,letter
cargo manager,of,airline
staff member,of,public enterprise airport pristina
cargo manager,referred to,problems
problems,relative to,invoice
invoice,issued by,cargo department of pristina airport
cargo department of pristina airport,for,handling of outgoing mail
outgoing mail,of,member states kfor
pristina airport staff,could not locate,record of invoice
record of invoice,in,airports financial records
commission of fraud,on the part of,staff in the cargo department
staff in the cargo department,was,suspected
Pristina Airport,is the cargo handling agent for,airline
airline,is the member states,KFOR
Pristina Airport,collects mail handling revenues on behalf of,airline
Pristina Airport,deposits revenues to,airline's bank account
airline,has issues identified in the letter by,airline cargo manager
Pristina Airport,charged,high rate 0.50kg for handling outgoing mail
invoice,had been incorrectly sent to,member states KFOR
invoice,instead of their agent,airline
value added tax (VAT),is not applicable to,international traffic
idoios,requested,dra logistics officer 2
dra logistics officer 2,reviewed,each individual bid
dra logistics officer 2,explained,hisher annotations
dra logistics officer 2,pointed out,vendor 4
dra logistics officer 2,pointed out,vendor 5
dra logistics officer 2,pointed out,vendor 6
vendor 6,offered,gotive h41 ib model
vendor 4,offered,gotive h41 model
vendor 5,offered,gotive h41 model
dra logistics officer 2,found out,gotive h41 ib model did not substantially differ from gotive h41 model
dra logistics officer 2,stated,gotive h41 model complied with all requirements
gotive h41 model,laid out in,technical specifications
gotive h41 model,was protected against,environmental impact
dra logistics officer 2,mentioned,pda model offered by vendor 1
pda model offered by vendor 1,was not,rugged pda
pda model offered by vendor 1,did not comply with,ip54 protection standards
vendor 1,appeared to be,lowest bidder
vendor 1,offered,largest number of pdas
vendor 1,did not comply with,technical specifications
members of the evaluation panel,did not shortlist,vendor 1
dra logistics officer 2,stated,evaluation panel
dra,advised,them
them,to monitor,technical specifications
them,to focus,section vii of the bidding documents
section vii of the bidding documents,has,obligatory requirements
obligatory requirements,to be fulfilled by,bidders
dra logistics officer 2,highlighted,criteria of afterwarranty repair service
criteria of afterwarranty repair service,located within,kosovo
repair or replacement,within,five working days
existing regulations,in,kosovo
existing regulations,concerns,notification registration and recording of information
notification registration and recording of information,concerning,movement of animals
movement of animals,within,five days of the movement
pda device,used for,communication of such data
pda device,broke down,farmers and veterinarians
farmers and veterinarians,would run the risk of,not complying with the law
vendor 1,was not selected by,evaluation panel
evaluation panel,recommended,vendor 4
evaluation panel,examined,bid documents
bid documents,were submitted by,six prequalified bidders
evaluation panel,made comments and annotations on,table
table,was provided by,dra logistics officer
evaluation panel,relied heavily on,dra logistics officer 2
dra logistics officer 2,was responsible for,evaluation of technical features
dra logistics officer 2,told,idoios
handwritten entries,were based on,discussions of the entire evaluation panel
dra logistics officer 2,independently verified,product offered by each bidder
product offered by each bidder,did possess,declared features
technical data,was checked with,product datasheet and brochures
complainant,raised,two main issues
vendor 1,submitted,the lowest bid
vendor 1,offered,the most number of devices
vendor 1,offered,the ceiling price
two other bidders,offered,the same product
two other bidders,offered,a lower price
two other bidders,had not been selected,the winning bidder
preliminary report,identified,these issues
idoios investigators,reviewed,all eight bids
dra logistics officer 1,disqualified,vendor 2
dra logistics officer 1,disqualified,vendor 3
vendor 2,bid was,not substantially responsive
vendor 3,bid was,not substantially responsive
vendor 2,did not include,taxes
vendor 2,exceeded,the ceiling of 135000
vendor 3,did not include,its yearly maintenance surcharge fee
vendor 3,caused,its bid to exceed the stated price ceiling
ear consultant,prepared,technical specifications
technical specifications,based on,proposal
proposal,in,spuveseks inception report
spuveseks inception report,of,Aug-02
dra,launched,initial tender
initial tender,for,pdas
pdas,inclusive of,hardware and software
bids submitted,exceeded,amount set aside
amount set aside,for,purchase of the pdas
tender,was cancelled,Feb-04
tender,based on,advice from central procurement entity
central procurement entity,cpe,second tender
second tender,for,purchase of required pdas
second tender,was launched,Apr-04
dra,provided,bidders with price ceiling
price ceiling,of,135000
bidders,state,number of devices
number of devices,in total,company could offer
deadline,for,submission of bids
dra,received,eight bids
bids,were opened,certified by members of bid-opening panel
members of bid-opening panel,consisting of,dra logistics officer 1
members of bid-opening panel,consisting of,dra procurement officer
members of bid-opening panel,consisting of,dra employee 1
members of bid-opening panel,consisting of,dra finance officer
complainant,told,idoios
bid opening process,occurred,without incident
bid opening process,in accordance with,correct procedural requirements
investigation,confirms,evidence
vendor 1,offered,pdas
pdas,conform to,technical specifications
complainant,offered,largest number of pdas
pdas,were not appropriate for,designated use
bid documents,set forth in,designated use
idoios,determined,procurement exercise
procurement exercise,was conducted in accordance with,un financial rules and regulations
un financial rules and regulations,governing,procurement
unmiks finance administrative instruction 21999,on,public procurements
public procurements,using,kcb funds
idoios,makes,recommendation
unmik,take note of,idoios findings and conclusions
unmik,advise,dra staff members
dra staff members,includes,dra employee 2
dra staff members,includes,dra logistics officer 1
investigation,result of,idoios findings
internal pillar ii review,highlighted,possible irregularities
internal pillar ii review,conducted by,policy review and internal oversight unit prio
policy review and internal oversight unit prio,provided,report
report,was provided to,idoios
idoios,investigated,entire tender process
entire tender process,determined whether,violations of un rules
directorate of rural affairs dra,is located within,unmik civil administration pillar ii
directorate of rural affairs dra,was formed in,Oct-01
directorate of rural affairs dra,comprises,veterinary services
directorate of rural affairs dra,comprises,veterinary border control
directorate of rural affairs dra,comprises,phytosanitary border control
directorate of rural affairs dra,comprises,public forests
directorate of rural affairs dra,remains,reserved area under security council resolution 1244
staff,are,united nations staff members
staff,subject to,un rules and regulations
directorate of rural affairs dra,undertakes,own procurement for all divisions within the dra
preliminary prio report,contains,price estimates
price estimates,stated in,ear consultants inception report
ear consultants inception report,showed,five different pda models
five different pda models,have,integrated scanner capabilities
prices of the pda models,ranged from,usd 32338
prices of the pda models,ranged to,usd 81830
idoios,adduced,initial estimates
initial estimates,were of,regular pdas
regular pdas,not,more rugged pdas
more rugged pdas,specified in,technical specifications
technical specifications,required for use by,veterinarians
veterinarians,working in,inclement weather conditions
idoios,found,estimates
estimates,were obtained from,internet
estimates,did not include,features
features,that would make it,technically appropriate
technical specifications,prepared by,ear consultant
ear consultant,envisaged,more rugged durable product
more rugged durable product,would be,water dust and drop resistant
price per unit of rugged pdas,is higher than,initial estimate
initial estimate,made in,inception report
idoios,verified,this
this,through,internet research
itf,conducted,investigation
prishtina airport management,failed to perform,duties
duties,in accordance with,general principles
assets,allocated to,atcs
kta,allocated,assets
atcs,was inadequately documented,use of assets
performance of the atcs finance office,was,unsatisfactory
poor performance,caused,financial damage
financial damage,to,unmik pillar 4 kta
work of the atcs finance office,was under,direct supervision
atcs finance office,was under direct supervision of,atcs official
oversight responsibility,was in the hands of,division manager
division manager,failed to perform,duties
duties,according to,expected standards
atcs official,failed to promote,best interest of unmik pillar 4 kta
unmik pillar 4 kta,as,employer
itf,obtained,documentation
documentation,shows,atcs management
atcs management,failed to introduce,rules and regulations
rules and regulations,guarantee,proper use of allocated funds
documentation,provided,process
cash withdrawals,used for,training opportunities
employees,attended,courses
courses,in,italy
courses,in,canada
courses,in,united kingdom
cash advances,related to,atcs officials travel
necessity,of,frequent travel
atcs official,remains,questionable
documentation,does not provide,proof
atcs officials travel,was,business related
atcs officials travel,was,justified
atcs official,stated,2002
atcs official,hired,finance officer 1
atcs official,hired,finance officer 2
finance officer 1,had,educational background
finance officer 1,had,professional experience
finance officer 2,had,educational background
finance officer 2,had,professional experience
atcs official,was sure,atcs money
atcs money,was spent,requests
atcs official,accepted,documentation
documentation,was,poor
documentation,was,unacceptable
